rowNumber,sourceGroup,provider,dataset,file,bytes,coverage,confidence,theme,roiScore,duplicateGroupSize,recommendedAction,recommendedPlacement,needsUserDecision,iaItem,rawViewport,cleanedBundle,evidence,url,raw
1090,Open Data NI latest audit,department-of-agriculture-environment-and-rural-affairs,groundwater-drinking-water-protected-areas-dwpas1,,,probable-interactive-or-geospatial,medium,environment-water-geology,75,2,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,map-detail:wq-groundwater-dwpa,https://opendata-daerani.hub.arcgis.com/api/download/v1/items/af8ce85ec0cc4adb8c9d5dfc423e1ad4/filegdb?layers=0,"opendatani,catalogue-missing,skipped,already-complete,70ff381d-b1e7-4c36-afc1-028b84ff9fb2,groundwater-drinking-water-protected-areas-dwpas1,department-of-agriculture-environment-and-rural-affairs,File Geodatabase,SHP,183,471835,0,0,0,0,,department-of-agriculture-environment-and-rural-affairs\groundwater-drinking-water-protected-areas-dwpas1\filegdb,https://opendata-daerani.hub.arcgis.com/api/download/v1/items/af8ce85ec0cc4adb8c9d5dfc423e1ad4/filegdb?layers=0"
1091,Open Data NI latest audit,ulster-wildlife,traditional-orchard-habitat-network,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-traditional-orchard,https://admin.opendatani.gov.uk/dataset/c4f05bd7-5dd5-4504-b6d7-23940957c3cd/resource/73256bb2-4ab1-4612-934b-461201810c51/download/tro.zip,"opendatani,catalogue-missing,skipped,already-complete,73256bb2-4ab1-4612-934b-461201810c51,traditional-orchard-habitat-network,ulster-wildlife,Traditional Orchard Habitat Network,SHP,42716,42716,0,0,0,0,,ulster-wildlife\traditional-orchard-habitat-network\tro.zip,https://admin.opendatani.gov.uk/dataset/c4f05bd7-5dd5-4504-b6d7-23940957c3cd/resource/73256bb2-4ab1-4612-934b-461201810c51/download/tro.zip"
1092,Open Data NI latest audit,ulster-wildlife,woodland-habitat-networks-grouped,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-woodland-grouped,https://admin.opendatani.gov.uk/dataset/8cc0d885-994c-432c-af8e-44ff55b4761d/resource/75bd57e1-fe6e-4438-b09c-de311583164b/download/woodland.zip,"opendatani,catalogue-missing,skipped,already-complete,75bd57e1-fe6e-4438-b09c-de311583164b,woodland-habitat-networks-grouped,ulster-wildlife,Woodland Habitat Networks-Grouped,SHP,10816940,10816940,0,0,0,0,,ulster-wildlife\woodland-habitat-networks-grouped\woodland.zip,https://admin.opendatani.gov.uk/dataset/8cc0d885-994c-432c-af8e-44ff55b4761d/resource/75bd57e1-fe6e-4438-b09c-de311583164b/download/woodland.zip"
1093,Open Data NI latest audit,translink,northern-ireland-railways-nir-railway-network,,,confirmed-interactive-or-geospatial,high,transport-infrastructure,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:railways-network,https://admin.opendatani.gov.uk/dataset/0297b4a0-5cea-4c22-97cc-346c76df33ed/resource/7bc41442-ef8b-4343-acc4-7a78d37cd6a0/download/nirshp.zip,"opendatani,catalogue-missing,skipped,already-complete,7bc41442-ef8b-4343-acc4-7a78d37cd6a0,northern-ireland-railways-nir-railway-network,translink,Northern Ireland Railways NIR Railway Network,SHP,90009,90009,0,0,0,0,,translink\northern-ireland-railways-nir-railway-network\nirshp.zip,https://admin.opendatani.gov.uk/dataset/0297b4a0-5cea-4c22-97cc-346c76df33ed/resource/7bc41442-ef8b-4343-acc4-7a78d37cd6a0/download/nirshp.zip"
1094,Open Data NI latest audit,northern-ireland-environment-agency-natural-environment-division,special-protection-areas,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,2,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:designated-spa,https://www.daera-ni.gov.uk/sites/default/files/publications/daera/Special%20Protected%20Areas%20-%20Irish%20National%20Grid_1.zip,"opendatani,catalogue-missing,skipped,already-complete,7e92cebe-d5d8-49a3-ba03-2d969d14441c,special-protection-areas,northern-ireland-environment-agency-natural-environment-division,Special Protection Areas - Irish National Grid,SHP,933052,933052,0,0,0,0,,northern-ireland-environment-agency-natural-environment-division\special-protection-areas\Special Protected Areas - Irish National Grid_1.zip,https://www.daera-ni.gov.uk/sites/default/files/publications/daera/Special%20Protected%20Areas%20-%20Irish%20National%20Grid_1.zip"
1095,Open Data NI latest audit,department-of-agriculture-environment-and-rural-affairs-marine-and-fisheries-division,ni-coastal-vulnerability-assessment-historic-assets,,,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,https://admin.opendatani.gov.uk/dataset/0cbb06cc-daf6-47ad-a66f-a3f28ee02cca/resource/7f3f2b10-3bb4-4b01-8630-91ac0c858e7a/download/ni-coastal-vulnerability-assessment-historic-assets.zip,"opendatani,catalogue-missing,skipped,already-complete,7f3f2b10-3bb4-4b01-8630-91ac0c858e7a,ni-coastal-vulnerability-assessment-historic-assets,department-of-agriculture-environment-and-rural-affairs-marine-and-fisheries-division,NI Coastal Vulnerability Assessment Historic Assets,SHP,218847,218847,0,0,0,0,,department-of-agriculture-environment-and-rural-affairs-marine-and-fisheries-division\ni-coastal-vulnerability-assessment-historic-assets\ni-coastal-vulnerability-assessment-historic-assets.zip,https://admin.opendatani.gov.uk/dataset/0cbb06cc-daf6-47ad-a66f-a3f28ee02cca/resource/7f3f2b10-3bb4-4b01-8630-91ac0c858e7a/download/ni-coastal-vulnerability-assessment-historic-assets.zip"
1096,Open Data NI latest audit,ulster-wildlife,fen-habitat-network,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-fen,https://admin.opendatani.gov.uk/dataset/a62e37f4-9a17-4854-a2ac-cc7b5b433648/resource/82e70d82-0e41-427f-a12d-43eef73524f2/download/fen.zip,"opendatani,catalogue-missing,skipped,already-complete,82e70d82-0e41-427f-a12d-43eef73524f2,fen-habitat-network,ulster-wildlife,Fen Habitat Network,SHP,5343119,5343119,0,0,0,0,,ulster-wildlife\fen-habitat-network\fen.zip,https://admin.opendatani.gov.uk/dataset/a62e37f4-9a17-4854-a2ac-cc7b5b433648/resource/82e70d82-0e41-427f-a12d-43eef73524f2/download/fen.zip"
1097,Open Data NI latest audit,land-property-services-ordnance-survey-of-northern-ireland,osni-open-data-largescale-boundaries-parliamentary-constituencies-2023,,,confirmed-interactive-or-geospatial,high,administrative-boundaries,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:pc-2023,https://admin.opendatani.gov.uk/dataset/a407c67a-6bc2-499d-b3a9-55f88e40bf9b/resource/85d28657-bd79-4bba-b440-891a4452edd6/download/osni_open_data_largescale_boundaries_parliamentary_constituencies_2023.zip,"opendatani,catalogue-missing,skipped,already-complete,85d28657-bd79-4bba-b440-891a4452edd6,osni-open-data-largescale-boundaries-parliamentary-constituencies-2023,land-property-services-ordnance-survey-of-northern-ireland,Shapefile,ZIP,4167587,4167587,0,0,0,0,,land-property-services-ordnance-survey-of-northern-ireland\osni-open-data-largescale-boundaries-parliamentary-constituencies-2023\osni_open_data_largescale_boundaries_parliamentary_constituencies_2023.zip,https://admin.opendatani.gov.uk/dataset/a407c67a-6bc2-499d-b3a9-55f88e40bf9b/resource/85d28657-bd79-4bba-b440-891a4452edd6/download/osni_open_data_largescale_boundaries_parliamentary_constituencies_2023.zip"
1098,Open Data NI latest audit,department-of-agriculture-environment-and-rural-affairs-marine-and-fisheries-division,ni-coastal-erosion-high-level-risk-appraisal,,,not-found-in-site-manifests,none,environment-water-geology,68,1,new-interactive-or-source-candidate,Browse map if geometry is useful at national/local scale; otherwise IA-backed source/download record,maybe,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,no R2/CDN cleaned bundle until structured query/map/chart use is approved,,https://admin.opendatani.gov.uk/dataset/f17a6fa1-782b-42b7-945e-abdcc7d3d30b/resource/89eadd5e-af34-4494-97f7-02299d86cbc9/download/ni-coastal-erosion-high-level-risk-appraisal.zip,"opendatani,catalogue-missing,skipped,already-complete,89eadd5e-af34-4494-97f7-02299d86cbc9,ni-coastal-erosion-high-level-risk-appraisal,department-of-agriculture-environment-and-rural-affairs-marine-and-fisheries-division,NI Coastal Erosion High Level Risk Appraisal,SHP,2243157,2243157,0,0,0,0,,department-of-agriculture-environment-and-rural-affairs-marine-and-fisheries-division\ni-coastal-erosion-high-level-risk-appraisal\ni-coastal-erosion-high-level-risk-appraisal.zip,https://admin.opendatani.gov.uk/dataset/f17a6fa1-782b-42b7-945e-abdcc7d3d30b/resource/89eadd5e-af34-4494-97f7-02299d86cbc9/download/ni-coastal-erosion-high-level-risk-appraisal.zip"
1099,Open Data NI latest audit,department-of-agriculture-environment-and-rural-affairs,wfd-river-and-lake-monitoring-sites-2nd-cycle1,,,probable-interactive-or-geospatial,medium,environment-water-geology,75,2,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,map-detail:wq-wfd-monitoring-sites,https://opendata-daerani.hub.arcgis.com/api/download/v1/items/5657b1bc552f448cb3d472dda93240e3/shapefile?layers=0,"opendatani,catalogue-missing,skipped,already-complete,8d73d15e-b95c-4626-bc31-ce55f06931c0,wfd-river-and-lake-monitoring-sites-2nd-cycle1,department-of-agriculture-environment-and-rural-affairs,Shapefile,SHP,49508,49508,0,0,0,0,,department-of-agriculture-environment-and-rural-affairs\wfd-river-and-lake-monitoring-sites-2nd-cycle1\shapefile,https://opendata-daerani.hub.arcgis.com/api/download/v1/items/5657b1bc552f448cb3d472dda93240e3/shapefile?layers=0"
1100,Open Data NI latest audit,ulster-wildlife,purple-moor-grass-rush-pasture-habitat-network,,,probable-interactive-or-geospatial,medium,environment-water-geology,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,map-detail:habitat-purple-moor-grass,https://admin.opendatani.gov.uk/dataset/7bd34e15-1fd7-4b7d-acd3-f2cfefbc15c6/resource/8e513c7b-81da-4d5b-a48e-a50b7d0e49de/download/pmg.zip,"opendatani,catalogue-missing,skipped,already-complete,8e513c7b-81da-4d5b-a48e-a50b7d0e49de,purple-moor-grass-rush-pasture-habitat-network,ulster-wildlife,Purple Moor Grass and Rush Pasture Habitat Network,SHP,1378772,1378772,0,0,0,0,,ulster-wildlife\purple-moor-grass-rush-pasture-habitat-network\pmg.zip,https://admin.opendatani.gov.uk/dataset/7bd34e15-1fd7-4b7d-acd3-f2cfefbc15c6/resource/8e513c7b-81da-4d5b-a48e-a50b7d0e49de/download/pmg.zip"
1101,Open Data NI latest audit,department-of-agriculture-environment-and-rural-affairs,wfd-river-and-lake-monitoring-sites-2nd-cycle1,,,probable-interactive-or-geospatial,medium,environment-water-geology,75,2,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,map-detail:wq-wfd-monitoring-sites,https://opendata-daerani.hub.arcgis.com/api/download/v1/items/5657b1bc552f448cb3d472dda93240e3/filegdb?layers=0,"opendatani,catalogue-missing,skipped,already-complete,93653195-9d5a-47ad-ba53-a34206821c27,wfd-river-and-lake-monitoring-sites-2nd-cycle1,department-of-agriculture-environment-and-rural-affairs,File Geodatabase,SHP,99371,99371,0,0,0,0,,department-of-agriculture-environment-and-rural-affairs\wfd-river-and-lake-monitoring-sites-2nd-cycle1\filegdb,https://opendata-daerani.hub.arcgis.com/api/download/v1/items/5657b1bc552f448cb3d472dda93240e3/filegdb?layers=0"
1102,Open Data NI latest audit,department-of-agriculture-environment-and-rural-affairs-marine-and-fisheries-division,http-https-www-daera-ni-gov-uk-topics-marine,,,probable-source-or-download-record,medium,environment-water-geology,75,1,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,source-detail:approved-publication:source-doc-03454-aquatic-methane-concentrations-in-lough-feeagh-and-the-burrishoole-catchment-201,https://admin.opendatani.gov.uk/dataset/68afd789-7783-465f-b823-6ecca80496d9/resource/93f1f01f-689d-42b0-948a-4d22f41dee35/download/mcz_inshore_daera_ni_2016.zip,"opendatani,catalogue-missing,skipped,already-complete,93f1f01f-689d-42b0-948a-4d22f41dee35,http-https-www-daera-ni-gov-uk-topics-marine,department-of-agriculture-environment-and-rural-affairs-marine-and-fisheries-division,Northern Ireland Inshore Marine Conservation Zones,SHP,234527,234527,0,0,0,0,,department-of-agriculture-environment-and-rural-affairs-marine-and-fisheries-division\http-https-www-daera-ni-gov-uk-topics-marine\mcz_inshore_daera_ni_2016.zip,https://admin.opendatani.gov.uk/dataset/68afd789-7783-465f-b823-6ecca80496d9/resource/93f1f01f-689d-42b0-948a-4d22f41dee35/download/mcz_inshore_daera_ni_2016.zip"
1103,Open Data NI latest audit,department-of-agriculture-environment-and-rural-affairs,wfd-river-water-bodies-2nd-cycle1,,,probable-interactive-or-geospatial,medium,environment-water-geology,75,2,review-probable-duplicate-or-variant,compare geometry/provider/date against likely parent; merge as variant if materially different,maybe,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,map-detail:wq-wfd-river-water-bodies,https://opendata-daerani.hub.arcgis.com/api/download/v1/items/5bd4d0fb38c442d480a17db6b839b1a3/shapefile?layers=0,"opendatani,catalogue-missing,skipped,already-complete,945ece4a-4142-4abd-8237-713aa1c4d691,wfd-river-water-bodies-2nd-cycle1,department-of-agriculture-environment-and-rural-affairs,Shapefile,SHP,2409152,2409152,0,0,0,0,,department-of-agriculture-environment-and-rural-affairs\wfd-river-water-bodies-2nd-cycle1\shapefile,https://opendata-daerani.hub.arcgis.com/api/download/v1/items/5bd4d0fb38c442d480a17db6b839b1a3/shapefile?layers=0"
1104,Open Data NI latest audit,ulster-wildlife,coastal-habitat-networks-grouped,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-coastal-grouped,https://admin.opendatani.gov.uk/dataset/db9a4622-7b79-4bbe-94b6-ff54c9fafd2f/resource/94aa5eba-c5d3-4cd1-843e-c329a429d581/download/coastal.zip,"opendatani,catalogue-missing,skipped,already-complete,94aa5eba-c5d3-4cd1-843e-c329a429d581,coastal-habitat-networks-grouped,ulster-wildlife,Coastal Habitat Networks-Grouped,SHP,673986,673986,0,0,0,0,,ulster-wildlife\coastal-habitat-networks-grouped\coastal.zip,https://admin.opendatani.gov.uk/dataset/db9a4622-7b79-4bbe-94b6-ff54c9fafd2f/resource/94aa5eba-c5d3-4cd1-843e-c329a429d581/download/coastal.zip"
1105,Open Data NI latest audit,department-of-agriculture-environment-and-rural-affairs,lake-water-bodies1,,,not-found-in-site-manifests,none,environment-water-geology,68,2,candidate-variant-group-review,group duplicates/near-duplicates first; publish one canonical entry with provider variants,maybe,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,R2/CDN only if variant gets a converted tile/query bundle,,https://opendata-daerani.hub.arcgis.com/api/download/v1/items/b28bf03a9c5a487eb91a98386960feab/filegdb?layers=0,"opendatani,catalogue-missing,skipped,already-complete,96ca309a-1b74-4466-a4dd-d00d356270fe,lake-water-bodies1,department-of-agriculture-environment-and-rural-affairs,File Geodatabase,SHP,1155217,1155217,0,0,0,0,,department-of-agriculture-environment-and-rural-affairs\lake-water-bodies1\filegdb,https://opendata-daerani.hub.arcgis.com/api/download/v1/items/b28bf03a9c5a487eb91a98386960feab/filegdb?layers=0"
1106,Open Data NI latest audit,land-property-services-ordnance-survey-of-northern-ireland,osni-open-data-largescale-boundaries-wards-1993,,,confirmed-interactive-or-geospatial,high,administrative-boundaries,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:wards-1993,https://admin.opendatani.gov.uk/dataset/aa140654-cbd8-45b9-82ed-4aeb05725929/resource/989150bf-8933-47b7-9dce-063205491507/download/osni_open_data_largescale_boundaries_wards_1993.zip,"opendatani,catalogue-missing,skipped,already-complete,989150bf-8933-47b7-9dce-063205491507,osni-open-data-largescale-boundaries-wards-1993,land-property-services-ordnance-survey-of-northern-ireland,Shapefile,ZIP,14257207,14257207,0,0,0,0,,land-property-services-ordnance-survey-of-northern-ireland\osni-open-data-largescale-boundaries-wards-1993\osni_open_data_largescale_boundaries_wards_1993.zip,https://admin.opendatani.gov.uk/dataset/aa140654-cbd8-45b9-82ed-4aeb05725929/resource/989150bf-8933-47b7-9dce-063205491507/download/osni_open_data_largescale_boundaries_wards_1993.zip"
1107,Open Data NI latest audit,ulster-wildlife,river-habitat-network,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-river,https://admin.opendatani.gov.uk/dataset/bde1d3a6-9276-442d-89e7-8a064af48898/resource/9a009e4a-9e1c-4396-8ed2-4fd2c09ed121/download/riv.zip,"opendatani,catalogue-missing,skipped,already-complete,9a009e4a-9e1c-4396-8ed2-4fd2c09ed121,river-habitat-network,ulster-wildlife,River Habitat Network,SHP,11262531,11262531,0,0,0,0,,ulster-wildlife\river-habitat-network\riv.zip,https://admin.opendatani.gov.uk/dataset/bde1d3a6-9276-442d-89e7-8a064af48898/resource/9a009e4a-9e1c-4396-8ed2-4fd2c09ed121/download/riv.zip"
1108,Open Data NI latest audit,land-property-services-ordnance-survey-of-northern-ireland,osni-open-data-largescale-boundaries-district-electoral-areas-1993,,,confirmed-interactive-or-geospatial,high,administrative-boundaries,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:deas-1993,https://admin.opendatani.gov.uk/dataset/455169ba-19c9-473b-ab2c-52108a2525b5/resource/9d94a8d9-f159-49a1-99f4-8cd47827aee8/download/osni_open_data_largescale_boundaries_district_electoral_areas_1993.zip,"opendatani,catalogue-missing,skipped,already-complete,9d94a8d9-f159-49a1-99f4-8cd47827aee8,osni-open-data-largescale-boundaries-district-electoral-areas-1993,land-property-services-ordnance-survey-of-northern-ireland,Shapefile,ZIP,7358489,7358489,0,0,0,0,,land-property-services-ordnance-survey-of-northern-ireland\osni-open-data-largescale-boundaries-district-electoral-areas-1993\osni_open_data_largescale_boundaries_district_electoral_areas_1993.zip,https://admin.opendatani.gov.uk/dataset/455169ba-19c9-473b-ab2c-52108a2525b5/resource/9d94a8d9-f159-49a1-99f4-8cd47827aee8/download/osni_open_data_largescale_boundaries_district_electoral_areas_1993.zip"
1109,Open Data NI latest audit,ulster-wildlife,coastal-vegetated-shingle-habitat-network,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-coastal-vegetated-shingle,https://admin.opendatani.gov.uk/dataset/bc57fe1b-d5f1-4f1a-af96-494618f3b53b/resource/9eee1f6e-f567-46f2-9443-9599d8bf51fc/download/cvs.zip,"opendatani,catalogue-missing,skipped,already-complete,9eee1f6e-f567-46f2-9443-9599d8bf51fc,coastal-vegetated-shingle-habitat-network,ulster-wildlife,Coastal Vegetated Shingle Habitat Network,SHP,69926,69926,0,0,0,0,,ulster-wildlife\coastal-vegetated-shingle-habitat-network\cvs.zip,https://admin.opendatani.gov.uk/dataset/bc57fe1b-d5f1-4f1a-af96-494618f3b53b/resource/9eee1f6e-f567-46f2-9443-9599d8bf51fc/download/cvs.zip"
1110,Open Data NI latest audit,northern-ireland-environment-agency-natural-environment-division,national-nature-reserves,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:designated-nnr,https://www.daera-ni.gov.uk/sites/default/files/publications/daera/National%20Nature%20Reserves%20-%20Irish%20National%20Grid_1.zip,"opendatani,catalogue-missing,skipped,already-complete,a36a4ab1-bced-4f0d-bc24-62f7fa3c9410,national-nature-reserves,northern-ireland-environment-agency-natural-environment-division,National Nature Reserves,SHP,179486,179486,0,0,0,0,,northern-ireland-environment-agency-natural-environment-division\national-nature-reserves\National Nature Reserves - Irish National Grid_1.zip,https://www.daera-ni.gov.uk/sites/default/files/publications/daera/National%20Nature%20Reserves%20-%20Irish%20National%20Grid_1.zip"
1111,Open Data NI latest audit,ulster-wildlife,grassland-habitat-networks-grouped,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-grassland-grouped,https://admin.opendatani.gov.uk/dataset/f311e7ab-085e-491a-bda2-939e039541d2/resource/a70269b1-8923-4e7f-8e54-ef4c5a37c0e4/download/grassland.zip,"opendatani,catalogue-missing,skipped,already-complete,a70269b1-8923-4e7f-8e54-ef4c5a37c0e4,grassland-habitat-networks-grouped,ulster-wildlife,Grassland Habitat Networks-Grouped,SHP,3106480,3106480,0,0,0,0,,ulster-wildlife\grassland-habitat-networks-grouped\grassland.zip,https://admin.opendatani.gov.uk/dataset/f311e7ab-085e-491a-bda2-939e039541d2/resource/a70269b1-8923-4e7f-8e54-ef4c5a37c0e4/download/grassland.zip"
1112,Open Data NI latest audit,ulster-wildlife,lake-habitat-network,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-lake,https://admin.opendatani.gov.uk/dataset/c389bfb5-65af-4457-b3f7-b5d1f2c7a29a/resource/b0ac9330-39bf-4b52-96ee-bf5e3b880bd8/download/lak.zip,"opendatani,catalogue-missing,skipped,already-complete,b0ac9330-39bf-4b52-96ee-bf5e3b880bd8,lake-habitat-network,ulster-wildlife,Lake Habitat Network,SHP,2647932,2647932,0,0,0,0,,ulster-wildlife\lake-habitat-network\lak.zip,https://admin.opendatani.gov.uk/dataset/c389bfb5-65af-4457-b3f7-b5d1f2c7a29a/resource/b0ac9330-39bf-4b52-96ee-bf5e3b880bd8/download/lak.zip"
1113,Open Data NI latest audit,ulster-wildlife,bog-habitat-network,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-bog,https://admin.opendatani.gov.uk/dataset/846c30d0-2d1d-441e-99dc-43c4741e77f6/resource/b3061c08-a5e2-4b84-9c38-6ac76b773dee/download/bog-network.zip,"opendatani,catalogue-missing,skipped,already-complete,b3061c08-a5e2-4b84-9c38-6ac76b773dee,bog-habitat-network,ulster-wildlife,Bog Habitat Network,SHP,5468775,5468775,0,0,0,0,,ulster-wildlife\bog-habitat-network\bog-network.zip,https://admin.opendatani.gov.uk/dataset/846c30d0-2d1d-441e-99dc-43c4741e77f6/resource/b3061c08-a5e2-4b84-9c38-6ac76b773dee/download/bog-network.zip"
1114,Open Data NI latest audit,ulster-wildlife,acid-grassland-habitat-network,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-acid-grassland,https://admin.opendatani.gov.uk/dataset/f4cdfd0e-f655-444d-a5fb-f052a04c6737/resource/b8377f2c-5dd9-4d8b-87f3-840eda8cb89b/download/agl.zip,"opendatani,catalogue-missing,skipped,already-complete,b8377f2c-5dd9-4d8b-87f3-840eda8cb89b,acid-grassland-habitat-network,ulster-wildlife,Acid Grassland Habitat Network,SHP,632822,632822,0,0,0,0,,ulster-wildlife\acid-grassland-habitat-network\agl.zip,https://admin.opendatani.gov.uk/dataset/f4cdfd0e-f655-444d-a5fb-f052a04c6737/resource/b8377f2c-5dd9-4d8b-87f3-840eda8cb89b/download/agl.zip"
1115,Open Data NI latest audit,ulster-wildlife,limestone-pavement-habitat-network,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-limestone-pavement,https://admin.opendatani.gov.uk/dataset/371e68d4-530a-4d1c-b867-44a3ef320411/resource/c17a6347-4352-41cb-844b-35f5e1c2f2c7/download/lsp.zip,"opendatani,catalogue-missing,skipped,already-complete,c17a6347-4352-41cb-844b-35f5e1c2f2c7,limestone-pavement-habitat-network,ulster-wildlife,Limestone Pavement Habitat Network,SHP,103372,103372,0,0,0,0,,ulster-wildlife\limestone-pavement-habitat-network\lsp.zip,https://admin.opendatani.gov.uk/dataset/371e68d4-530a-4d1c-b867-44a3ef320411/resource/c17a6347-4352-41cb-844b-35f5e1c2f2c7/download/lsp.zip"
1116,Open Data NI latest audit,ulster-wildlife,reedbed-habitat-network,,,confirmed-interactive-or-geospatial,high,environment-water-geology,20,1,already-interactive-on-site,no new map; add source/variant metadata only if provider/version differs,no,civgraph-open-data-ni-raw-sources,download-only raw source; converted MapLibre layer if approved,defer,map-detail:habitat-reedbed,https://admin.opendatani.gov.uk/dataset/2aad7ca5-4619-4519-ab64-4ecfff858e72/resource/c398bec9-2c07-41f3-a52e-f6b75b591a6e/download/rbd.zip,"opendatani,catalogue-missing,skipped,already-complete,c398bec9-2c07-41f3-a52e-f6b75b591a6e,reedbed-habitat-network,ulster-wildlife,Reedbed Habitat Network,SHP,958579,958579,0,0,0,0,,ulster-wildlife\reedbed-habitat-network\rbd.zip,https://admin.opendatani.gov.uk/dataset/2aad7ca5-4619-4519-ab64-4ecfff858e72/resource/c398bec9-2c07-41f3-a52e-f6b75b591a6e/download/rbd.zip"
